cui,entrega,item,n,texto
0202584,2023,silla escolar,62,silla escolar 62
0202595,2021,banco largo comedor,14,banco largo comedor 14
0202595,2021,mesa 6 alumnos,7,mesa 6 alumnos 7
0202597,2021,varios,30,varios 30
0202643,2021,banco largo comedor,20,banco largo comedor 20
0202643,2021,mesa 6 alumnos,10,mesa 6 alumnos 10
0202643,2021,silla escolar,27,silla escolar 27
0202649,2021,mesa trabajo estante,10,mesa trabajo estante 10
0202649,2021,varios,20,varios 20
0202649,2022,escritorio,2,escritorio 2
0202649,2022,mesa pupitre doble,38,mesa pupitre doble 38
0202649,2022,pizarrón,2,pizarrón 2
0202649,2022,silla escolar,78,silla escolar 78
0202649,2023,banco largo comedor,20,banco largo comedor 20
0202649,2023,escritorio,2,escritorio 2
0202649,2023,mesa 6 alumnos,10,mesa 6 alumnos 10
0202649,2023,mesa pupitre doble,30,mesa pupitre doble 30
0202649,2023,pizarrón,2,pizarrón 2
0202649,2023,silla escolar,62,silla escolar 62
0202650,2021,mesa trabajo estante,8,mesa trabajo estante 8
0202650,2021,varios,16,varios 16
0202656,2021,banco largo comedor,10,banco largo comedor 10
0202656,2021,mesa 6 alumnos,5,mesa 6 alumnos 5
0202660,2021,mesa inicial,58,mesa inicial 58
0202660,2023,mesa inicial,5,mesa inicial 5
0202660,2023,mesa pupitre doble,50,mesa pupitre doble 50
0202660,2023,silla escolar,130,silla escolar 130
0202662,2021,banco largo comedor,40,banco largo comedor 40
0202662,2021,mesa 6 alumnos,30,mesa 6 alumnos 30
0202662,2022,escritorio,4,escritorio 4
0202662,2022,mesa pupitre doble,15,mesa pupitre doble 15
0202662,2022,pizarrón,4,pizarrón 4
0202662,2022,silla escolar,140,silla escolar 140
0202662,2023,locker,15,locker 15
0202663,2021,armario,17,armario 17
0202663,2021,banco largo comedor,50,banco largo comedor 50
0202663,2021,escritorio,25,escritorio 25
0202663,2021,mesa 6 alumnos,44,mesa 6 alumnos 44
0202663,2021,mesa pupitre doble,129,mesa pupitre doble 129
0202663,2021,pizarrón,25,pizarrón 25
0202663,2021,silla escolar,278,silla escolar 278
0202663,2022,banco largo comedor,20,banco largo comedor 20
0202663,2022,mesa 6 alumnos,10,mesa 6 alumnos 10
0202663,2023,banco largo comedor,19,banco largo comedor 19
0202663,2023,mesa 6 alumnos,10,mesa 6 alumnos 10
0202663,2023,mesa pupitre doble,13,mesa pupitre doble 13
0202663,2023,pizarrón,7,pizarrón 7
0202663,2023,silla escolar,26,silla escolar 26
0202667,2022,armario,4,armario 4
0202667,2022,mesa inicial,20,mesa inicial 20
0202667,2022,pizarrón,1,pizarrón 1
0202667,2022,silla escolar,120,silla escolar 120
0202668,2021,varios,50,varios 50
0202676,2022,mesa inicial,3,mesa inicial 3
0202676,2022,silla escolar,18,silla escolar 18
0202678,2021,varios,300,varios 300
0202679,2021,armario,1,armario 1
0202679,2021,banco largo comedor,50,banco largo comedor 50
0202679,2021,mesa 6 alumnos,25,mesa 6 alumnos 25
0202679,2021,mesa pupitre doble,60,mesa pupitre doble 60
0202679,2021,silla escolar,64,silla escolar 64
0202680,2021,banco largo comedor,74,banco largo comedor 74
0202683,2021,armario,3,armario 3
0202683,2022,mesa pupitre doble,40,mesa pupitre doble 40
0202683,2022,silla escolar,80,silla escolar 80
0202684,2021,juego de patio,1,juego de patio 1
0202684,2021,varios,6,varios 6
0202687,2021,armario,12,armario 12
0202687,2021,banco largo comedor,35,banco largo comedor 35
0202687,2021,biblioteca,10,biblioteca 10
0202687,2021,escritorio,9,escritorio 9
0202687,2021,mesa 6 alumnos,6,mesa 6 alumnos 6
0202687,2021,mesa pupitre doble,115,mesa pupitre doble 115
0202687,2021,pizarrón,18,pizarrón 18
0202687,2021,silla escolar,198,silla escolar 198
0202688,2021,armario,5,armario 5
0202688,2021,biblioteca,10,biblioteca 10
0202688,2021,escritorio,4,escritorio 4
0202688,2021,mesa pupitre doble,60,mesa pupitre doble 60
0202688,2021,pizarrón,2,pizarrón 2
0202689,2022,armario,92,armario 92
0202731,2021,armario,3,armario 3
0202731,2021,biblioteca,3,biblioteca 3
0202731,2021,escritorio,3,escritorio 3
0202731,2021,juego de patio,1,juego de patio 1
0202731,2021,mesa inicial,53,mesa inicial 53
0202731,2021,pizarrón,8,pizarrón 8
0202731,2021,silla escolar,332,silla escolar 332
0202731,2021,varios,113,varios 113
0202734,2021,mesa trabajo estante,12,mesa trabajo estante 12
0202734,2021,varios,24,varios 24
0202773,2022,armario,18,armario 18
0202773,2022,biblioteca,9,biblioteca 9
0202773,2022,escritorio,4,escritorio 4
0202773,2022,mesa inicial,45,mesa inicial 45
0202773,2022,pizarrón,15,pizarrón 15
0202773,2022,silla escolar,428,silla escolar 428
0202773,2022,varios,14,varios 14
0203125,2021,juego de patio,1,juego de patio 1
0203125,2021,piso antigolpe para juegos,60,piso antigolpe para juegos 60
0203185,2021,armario,28,armario 28
0203185,2021,banco largo comedor,28,banco largo comedor 28
0203185,2021,biblioteca,14,biblioteca 14
0203185,2021,escritorio,14,escritorio 14
0203185,2021,pizarrón,42,pizarrón 42
0203185,2021,silla escolar,14,silla escolar 14
0203185,2022,armario,26,armario 26
0203185,2022,banco largo comedor,90,banco largo comedor 90
0203185,2022,biblioteca,14,biblioteca 14
0203185,2022,escritorio,31,escritorio 31
0203185,2022,mesa 6 alumnos,62,mesa 6 alumnos 62
0203185,2022,mesa inicial,5,mesa inicial 5
0203185,2022,mesa pupitre doble,260,mesa pupitre doble 260
0203185,2022,pizarrón,72,pizarrón 72
0203185,2022,silla escolar,865,silla escolar 865
0203185,2022,varios,10,varios 10
0203185,2023,armario,14,armario 14
0203185,2023,biblioteca,14,biblioteca 14
0203185,2023,silla escolar,14,silla escolar 14
0superv,2021,armario,4,armario 4
