cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200585.html'>0200585</a>,EPC N° 02 FLORENCIO VARELA - EPA N° 02 FLORENCIO VARELA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200585.html'>CARACAS 10</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200586.html'>0200586</a>,JIN D (EPCJC 03/12°) [S] - EPC N° 03 EMILIO GIMENEZ ZAPIOLA - EPA N° 03 EMILIO GIMENEZ ZAPIOLA - CECIE N° 12,<a href='https://jpcib.github.io/sistemaBochi/pages/0200586.html'>JOAQUIN V. GONZALEZ 180</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200587.html'>0200587</a>,JIN A (EPCJS 04/12°) [S] - EPC N° 04 PROVINCIA DE LA PAMPA - ESEA EN DANZA MASTRAZZI  JUV. N° 05,<a href='https://jpcib.github.io/sistemaBochi/pages/0200587.html'>CARACAS 1249</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200588.html'>0200588</a>,JIN A (EPCJC 05/12°) - EPC N° 05 REPUBLICA DE EL SALVADOR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200588.html'>GRAL. JOSE GERVASIO DE ARTIGAS 878</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200589.html'>0200589</a>,EPC N° 06 DR. ALFREDO L. PALACIOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200589.html'>CARACAS 2057</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200590.html'>0200590</a>,EPC N° 07 JORGE NEWBERY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200590.html'>SAN BLAS 2962</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200591.html'>0200591</a>,EPC N° 08 QUINTINO BOCAYUVA - EPA N° 08 QUINTINO BOCAYUVA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200591.html'>GRAL. CESAR DIAZ 3050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200592.html'>0200592</a>,JIN D (EPCJS 09/12°) - EPC N° 09 LIC. DON MAURO FERNANDEZ - CENS N° 85,<a href='https://jpcib.github.io/sistemaBochi/pages/0200592.html'>BACACAY 3542</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200593.html'>0200593</a>,JIC N° 03/12° BANDERIN - EPC N°10 CNEL.DE MARINA LEONARDO ROSALES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200593.html'>MERCEDES 1405</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200594.html'>0200594</a>,JIN C (EPCJS 11/12°)(SEDE) - EPC N° 11 ANDRES BELLO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200594.html'>DR. LUIS BELAUSTEGUI 3751</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200595.html'>0200595</a>,JIC N° 02/12° PROVIMCIA DE CHACO - EPC N° 12 PROVINCIA DEL CHACO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200595.html'>AVDA. AVELLANEDA 2547</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200596.html'>0200596</a>,EPC N° 15 CNEL. C. T. SOURIGUES - CENOF CENTRO ARANGUREN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200596.html'>DR. JUAN FELIPE ARANGUREN 2400</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200597.html'>0200597</a>,EPC N° 16 ERNESTO ALEJANDRO BAVIO - JIN C (EPCJC 16/12°) - CAIYJ CLUB FLORESTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200597.html'>BAHIA BLANCA 1551</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200598.html'>0200598</a>,EPC N° 17 CASILDA IGARZABAL DE ROD.PEÑA - JIN C (EPCJS 17/12°) - CECIE N° 23,<a href='https://jpcib.github.io/sistemaBochi/pages/0200598.html'>ALEJANDRO MAGARIÑOS CERVANTES 2865</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200599.html'>0200599</a>,JIN A (EPCJC 19/12°) - EPC N° 19 LEANDRO NICEFORO ALEM - CENS N° 76,<a href='https://jpcib.github.io/sistemaBochi/pages/0200599.html'>FRAY CAYETANO RODRIGUEZ 95</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200600.html'>0200600</a>,EPC N° 23 SATURNINO SEGUROLA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200600.html'>GRAL. VENANCIO FLORES 3869</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200601.html'>0200601</a>,JIN D (EPCJC 24/12°) - EPC N° 24 PADRE CASTAÑEDA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200601.html'>MORON 3745</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200602.html'>0200602</a>,EPC N° 25 INSP.GEN. ALFREDO DANIEL ZUMDA - JIN C DE 12 (ESC. PRIM. Nº 11 DE 12),<a href='https://jpcib.github.io/sistemaBochi/pages/0200602.html'>REMEDIOS DE ESCALADA DE SAN MARTIN 2986</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200603.html'>0200603</a>,JIC N° 06 DE 12,<a href='https://jpcib.github.io/sistemaBochi/pages/0200603.html'>SAN BLAS 2238</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200604.html'>0200604</a>,JII N° 01/12° RITA LATALLADA DE VICTORIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200604.html'>JOAQUIN V. GONZALEZ 307</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200605.html'>0200605</a>,JM N° 05/12° H° DR. T. ALVAREZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200605.html'>DR. JUAN FELIPE ARANGUREN 2605</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200606.html'>0200606</a>,COLEGIO N° 09 JUSTO JOSE DE URQUIZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200606.html'>CONDARCO 290</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200607.html'>0200607</a>,ESC. TEC. N° 06 FERNANDO FADER,<a href='https://jpcib.github.io/sistemaBochi/pages/0200607.html'>PJE. LA PORTEÑA 54</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200608.html'>0200608</a>,EEM N° 01/12° JULIO CORTAZAR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200608.html'>BOGOTA 2759</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200609.html'>0200609</a>,CFP N° 24 (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200609.html'>GRAL. JOSE GERVASIO DE ARTIGAS 690</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200610.html'>0200610</a>,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 16 DRA. C TOBAR GARCÍA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200610.html'>CAMARONES 3559</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200611.html'>0200611</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 12,<a href='https://jpcib.github.io/sistemaBochi/pages/0200611.html'>GAVILAN 1464</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200612.html'>0200612</a>,CENS N° 56 - CE DE NIVEL PRIMARIO - SEDE SUPERVISION - CENTRO EDUCATIVO DE NIVEL PRIMARIO N° 28 - CENOF CENTRO SAN NICOLAS - CENTRO EDUCATIVO CURSOS ESPECIALES - (SEADAD),<a href='https://jpcib.github.io/sistemaBochi/pages/0200612.html'>SAN NICOLAS 588</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200615.html'>0200615</a>,Superv.Educ Prim. Zona D RegiónVII-DE 12,<a href='https://jpcib.github.io/sistemaBochi/pages/0200615.html'>CARACAS 48</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200618.html'>0200618</a>,EPC N° 14 ENRIQUE G. PARKER - JIC N°04/12 CONV.INTER. DER.DEL NIÑO - CECEP N° 12 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 19 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 14,<a href='https://jpcib.github.io/sistemaBochi/pages/0200618.html'>CONDARCO 1129</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200619.html'>0200619</a>,JIN D (EPCJC 01/13°) [S] - EPC N° 01 PROF. JOSE ONAINDIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200619.html'>RAFAELA 5159</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200620.html'>0200620</a>,EPC N° 02 PATRIA GRANDE - JIN B (EPCJC 02/13°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200620.html'>CHASCOMUS 5598</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200621.html'>0200621</a>,JIN B (EPCJC 03/13°) - EPC N° 03 EDUARDO LADISLAO HOLMBERG - ESC. DE MUSICA N° 06,<a href='https://jpcib.github.io/sistemaBochi/pages/0200621.html'>AVDA. LARRAZABAL 1556</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200622.html'>0200622</a>,Sup Inicial V A A Sup Primaria DE13 - EPC N° 04 REPUBLICA DEL BRASIL - JIN B (EPCJC 04/13°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200622.html'>MANUEL ARTIGAS 5951</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200623.html'>0200623</a>,JINC(EPCJS 05/13°)NIÑOS LATINOAMERICANOS - EPA N° 05 ROBERTO BILLINGHURST - EPC N° 05 ROBERTO BILLINGHURST,<a href='https://jpcib.github.io/sistemaBochi/pages/0200623.html'>ZINNY 1641</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200624.html'>0200624</a>,EPC N° 06 CARLOS GUIDO Y SPANO - JIN D (EPCJC 06/13°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200624.html'>CNEL. RAMON L. FALCON 4801</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200625.html'>0200625</a>,EPC N° 07 RECUERDOS DE PROVINCIA - JIN D (EPCJS 07/13°) - CENOF CENTRO ALBERDI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200625.html'>AVDA. JUAN BAUTISTA ALBERDI 4755</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200626.html'>0200626</a>,JINC(EPCJS 08/13)[S]NIÑOS LATINOAMERIC. - EPC N° 08 REINO DE THAILANDIA - CENOF CENTRO HOMERO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200626.html'>SARAVIA 2358</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200627.html'>0200627</a>,EPC N° 09 HOMERO MANZI - CENS N° 91,<a href='https://jpcib.github.io/sistemaBochi/pages/0200627.html'>MIRALLA 2666</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200628.html'>0200628</a>,EPC N° 10 ANTONIO ZACCAGNINI - JII N° 03/13° JARDIN DEL PARQUE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200628.html'>LACARRA 1135</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200629.html'>0200629</a>,EPC N° 11 PONCIANO VIVANCO - JIC N° 01/13°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200629.html'>OLIDEN 2851</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200630.html'>0200630</a>,EPC N° 12 PRESB. PROF.V.MONTES CARBALLO - JIN A (EPCJC 12/13°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200630.html'>LARRAYA 2055</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200631.html'>0200631</a>,EPC N° 13 PROF. LUZ VIEIRA MENDEZ - JIN B (EPCJS 13/13°) - CENS N° 82,<a href='https://jpcib.github.io/sistemaBochi/pages/0200631.html'>BRAGADO 5350</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200632.html'>0200632</a>,JIN A (EPCJS 14/13°) [S] - EPC N° 14 JOSE ANTONIO CABRERA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200632.html'>SAN PEDRO 5845</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200633.html'>0200633</a>,JIC N° 02/13° - EPC N° 15 REPUBLICA ARGENTINA - CECEP N° 13 MARTIN MALHARRO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200633.html'>AVDA. TTE. GRAL. DELLEPIANE 4750</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200634.html'>0200634</a>,JINC(EPCJS 16/13°)NIÑOS LATINOAMERICANOS - EPC N° 16 DR. TOMAS A. LE BRETON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200634.html'>GRAL. EUGENIO GARZON 4346</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200635.html'>0200635</a>,EPC N° 18 DRA.ELVIRA R. DE DELLEPIANE - JINC(EPCJC 18/13°)NIÑOS LATINOAMERICANOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200635.html'>SAN PEDRO 4457</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200636.html'>0200636</a>,EPC N°19 CAJA NAC. DE AHORRO Y SEGURO - JIN A (EPCJS 19/13°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200636.html'>ALBARIÑO 2062</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200637.html'>0200637</a>,EPC N° 20 SARGENTO JUAN BAUTISTA CABRAL - EPA N° 20 SARGENTO JUAN BAUTISTA CABRAL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200637.html'>HOMERO 1157</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200638.html'>0200638</a>,JIN D (EPCJC 21/13°) - EPC N° 21 PEDRO INCHAUSPE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200638.html'>JOSE ENRIQUE RODO 4431</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200639.html'>0200639</a>,EPA N°22 SANTA MARIA DE LOS BUENOS AIRES - EPC N°22 SANTA MARIA DE LOS BUENOS AIRES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200639.html'>ECHEANDIA 5650</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200640.html'>0200640</a>,JIN D (EPCJC 24/13°) - EPC N° 24 SARA DE ELIA DE GIMENEZ - CECIE N° 13 MARTIN LUTHER KING,<a href='https://jpcib.github.io/sistemaBochi/pages/0200640.html'>AVDA. BRUIX 4620</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200641.html'>0200641</a>,ESC. DE COM.  N° 32 JOSE LEON SUAREZ [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200641.html'>ACASSUSO 5860</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200642.html'>0200642</a>,Sup Media Region V - LICEO N° 08 ESTEBAN ECHEVERRIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200642.html'>MURGUIONDO 1568</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200643.html'>0200643</a>,ESC. TEC. N° 08 PAULA ALBARRACIN DE SARMIENTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200643.html'>PIO COLLIVADINO 436</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200644.html'>0200644</a>,Sup Media Tecnica Region V Oeste - ESC. TEC.  N° 17 BRIG. GRAL. CORNELIO SAAVEDRA - CAIYJ LACARRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200644.html'>LACARRA 535</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200645.html'>0200645</a>,ESC. TEC. N° 23 CASAL CALVIÑO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200645.html'>LACARRA 621</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200647.html'>0200647</a>,ESC. DE COM. N° 06 AMERICA - EEM N° 01/13° MANUEL MUJICA LAINEZ - CAIYJ CLUB AMERICA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200647.html'>AVDA. TTE. GRAL. DELLEPIANE Y AVDA. ESCALADA</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200648.html'>0200648</a>,ESCUELA INF. N° 05/13° - ESCUELA INF. N° 04/13°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200648.html'>BASUALDO 2850</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200650.html'>0200650</a>,Esc. de Teatro Niní Marschall,<a href='https://jpcib.github.io/sistemaBochi/pages/0200650.html'>OLIDEN 1245</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200655.html'>0200655</a>,ESC. DE COM. N° 32 JOSE LEON SUAREZ [A],<a href='https://jpcib.github.io/sistemaBochi/pages/0200655.html'>ACASSUSO 6138</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200657.html'>0200657</a>,EPC N° 01 RUBEN DARIO - JIN B (EPCJC 01/14°) (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200657.html'>OTERO 271</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200658.html'>0200658</a>,EPC N° 02 GRAL. MARIANO ACHA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200658.html'>ROSETI 1450</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200659.html'>0200659</a>,EPC N° 03 ING. ALVAREZ CONDARCO - JIN C (EPCJC 03/14°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200659.html'>GIRARDOT 1946</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200660.html'>0200660</a>,EPC N° 04 GRAL. JUAN ANTONIO LAVALLEJA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200660.html'>14 DE JULIO 546</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200661.html'>0200661</a>,EPC N° 05 ENRIQUE DE VEDIA - JIN C (EPCJS 05/14°) - CECIE N° 24,<a href='https://jpcib.github.io/sistemaBochi/pages/0200661.html'>COMBATIENTES DE MALVINAS 3234</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200662.html'>0200662</a>,EPC N° 08 CARMEN C. DE MENDEZ CASARIEGO - JIN B (EPCJC 08/14°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200662.html'>AVDA. JORGE NEWBERY 4436</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200663.html'>0200663</a>,EPC N° 10 REPUBLICA DEL ECUADOR - CECIE N° 14,<a href='https://jpcib.github.io/sistemaBochi/pages/0200663.html'>ESPINOSA 2547</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200664.html'>0200664</a>,EPC N° 11 DR. ENRIQUE MOSCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200664.html'>CASAFOUST 761</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200665.html'>0200665</a>,EPC N° 12 HERMINIA BRUMANA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200665.html'>FITZ ROY 171</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200666.html'>0200666</a>,EPC N° 13 PROVINCIA DEL NEUQUEN - JII N° 06/14°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200666.html'>ALMTE. FRANCISCO J. SEGUI 2580</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200667.html'>0200667</a>,EPC N° 14 DR. LUIS AGOTE - CENS N° 74,<a href='https://jpcib.github.io/sistemaBochi/pages/0200667.html'>AVDA. JORGE NEWBERY 3664</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200668.html'>0200668</a>,JIN B (EPCJC 15/14°) - EPC N° 15 PROVINCIA DE MENDOZA - CENOF CENTRO JUAN AGUSTIN GARCIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200668.html'>JUAN AGUSTIN GARCIA 1511</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200669.html'>0200669</a>,EPC N° 16 FRAY JUSTO SANTA MARIA DE ORO - JIN D (EPCJS 16/14°) - EPA N° 16 FRAY JUSTO SANTA MARIA DE ORO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200669.html'>AVDA. ALVAREZ JONTE 1964</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200670.html'>0200670</a>,EPC N° 17 MONSEÑOR GUSTAVO J. FRANCESCHI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200670.html'>GRAL. ENRIQUE MARTINEZ 1432</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200671.html'>0200671</a>,EPC N° 18 CABILDO DE BUENOS AIRES - EPA N° 18 CABILDO DE BUENOS AIRES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200671.html'>AVDA. FEDERICO LACROZE 3839</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200672.html'>0200672</a>,EPC N° 20 REPUBLICA DE HONDURAS - JIN C (EPCJC 20/14°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200672.html'>AVDA. ELCANO 4861</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200673.html'>0200673</a>,EPC N° 21 ALTE. SEGUNDO R. STORNI - JIN B (EPCJC 21/14°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200673.html'>MARTINEZ ROSAS 1364</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200674.html'>0200674</a>,EPC N° 22 AGRONOMIA - JII N° 04/14,<a href='https://jpcib.github.io/sistemaBochi/pages/0200674.html'>AVDA. DE LOS CONSTITUYENTES 3100</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200675.html'>0200675</a>,EPC N° 23 ALFREDO RODOLFO BUFANO - JIN B (EPCJC 23/14°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200675.html'>GRAL. MANUEL A. RODRIGUEZ 2332</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200676.html'>0200676</a>,Supervisión Primaria DE 14 - EPC N° 24 FRANCISCO BEIRO - JIN D (EPCJS 24/14°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200676.html'>BOLIVIA 2569/2571</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200677.html'>0200677</a>,EPC N° 25 CARMEN SONDA DE PANDOLFINI - EPA N° 25 CARMEN SONDA DE PANDOLFINI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200677.html'>AVDA. SAN MARTIN 5021</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200678.html'>0200678</a>,JIN D (EPCJC 26/14°) - EPC N° 26 DELFINA DE VEDIA DE MITRE - CENS N° 86,<a href='https://jpcib.github.io/sistemaBochi/pages/0200678.html'>CARACAS 2372</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200679.html'>0200679</a>,ESC. DE COM.  N° 20 DR. JUAN AGUSTIN GARCIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200679.html'>NICASIO OROÑO 2131</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200680.html'>0200680</a>,CENS N° 21 - CENS N° 61 - CENS N° 10,<a href='https://jpcib.github.io/sistemaBochi/pages/0200680.html'>BALBOA 210</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200681.html'>0200681</a>,Sup Inicial X A - JII N° 03/14° EL JARDIN DE OLLEROS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200681.html'>OLLEROS 3621</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200682.html'>0200682</a>,JM N° 01/14° PAULA ALBARRACIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200682.html'>LEIVA 4274</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200683.html'>0200683</a>,ESC. DE COM. N° 24 DR. DALMACIO VELEZ SARSFIELD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200683.html'>AVDA. DEL CAMPO 1340</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200684.html'>0200684</a>,Sup Media Region IV A Sup Media Tecnica Region IV A UTN - ESC. TEC. N° 32 GRAL. JOSE DE SAN MARTIN - CAIYJ CHACARITA - ESCUELA DE MAESTROS (ANEXO 08),<a href='https://jpcib.github.io/sistemaBochi/pages/0200684.html'>TEODORO GARCIA 3871</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200685.html'>0200685</a>,Sup Educacion Especial. Escal C A Centro Cultural Roberto Santoro - ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 18 C M ESTRADA DE CANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200685.html'>GIRIBONE 1961</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200686.html'>0200686</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 14,<a href='https://jpcib.github.io/sistemaBochi/pages/0200686.html'>AVDA. TRIUNVIRATO 3626</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200687.html'>0200687</a>,EEM N° 01/14° FEDERICO GARCIA LORCA - CAIYJ CLUB GARCIA LORCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200687.html'>AVDA. CHORROARIN 305</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200688.html'>0200688</a>,ESCUELA INF. N° 02/14° H° TORNU,<a href='https://jpcib.github.io/sistemaBochi/pages/0200688.html'>COMBATIENTES DE MALVINAS 3002</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200689.html'>0200689</a>,EEM N° 02/14° ARGENTINOS JUNIORS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200689.html'>BOYACA 2152</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200691.html'>0200691</a>,CFP N° 20,<a href='https://jpcib.github.io/sistemaBochi/pages/0200691.html'>DELGADO 769</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200699.html'>0200699</a>,EPC N° 02 Gral. Mariano Acha (Polid.),<a href='https://jpcib.github.io/sistemaBochi/pages/0200699.html'>CHARLONE 1525/1533</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200703.html'>0200703</a>,JIN A (EPCJC 01/15°) - EPC N° 01 CNEL. JOSE DE OLAVARRIA - ESC. DE MUSICA N° 09,<a href='https://jpcib.github.io/sistemaBochi/pages/0200703.html'>AVDA. TRIUNVIRATO 5101</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200704.html'>0200704</a>,JIN A (EPCJC 02/15°) [S] - EPC N° 02 JUANA MANUELA GORRITI - EPA N° 02 JUANA MANUELA GORRITI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200704.html'>AVDA. TRIUNVIRATO 4857</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200705.html'>0200705</a>,EPC N° 03 REPUBLICA DE COSTA RICA - JIN C (EPCJC 03/15°) - CECIE N° 15,<a href='https://jpcib.github.io/sistemaBochi/pages/0200705.html'>MANUELA PEDRAZA 4548</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200706.html'>0200706</a>,EPC N° 04 PROVINCIA DE BUENOS AIRES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200706.html'>AVDA. ALVAREZ THOMAS 3391</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200707.html'>0200707</a>,EPC N° 08 JORGE ANGEL BOERO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200707.html'>JURAMENTO 4849</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200708.html'>0200708</a>,EPC N° 09 DOMINGUITO - CENS N° 78,<a href='https://jpcib.github.io/sistemaBochi/pages/0200708.html'>ECHEVERRIA 5034</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200709.html'>0200709</a>,EPC N° 10 DR. RAMON J. CARCANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200709.html'>BUCARELLI 1950</a>
