cui,ano,prestaciones,descripcion_obra
0200029,2022,Albañileria / Pintura,"Secundaria del futuro, Reparacion de cielorrasos sobre caja esc, Cambio de tanques de reserva, Presupuesto aulas SDF"
0200029,2022,Calefaccion y Refrigeracion,Cambio de 3 estufas
0200029,2022,Carpinterías,Provisión e instalación de rejas en dife
0200029,2022,Electricidad,"Cambio de cableado telefonico, Retiro artef iluminacion y colocac LED"
0200029,2022,Incendio,"Cambio de lanzas, Rep. y coloc señaleticas"
0200029,2022,Medios de elevación,Reparacion variador de control  maniobra
0200029,2022,Otros Servicios,Volquete para retiro de materiales
0200029,2022,Sanitarias,Cambio de bomba de achique
0200029,2023,Carpinterías,"Prov,coloc 3 puertas reja acceso aulas"
0200029,2023,Electricidad,"Reemplazo de 19 ventiladores de pared, Realizar circuito independiente de tomas, Instalacion electrica en sala de tanques, Colocacion de 11 ventiladores de techo"
0200029,2023,Incendio,Reemplazo de componentes de ascensor
0200029,2023,Sanitarias,Cambio de 3 inodoros
0200030,2021,Albañileria / Pintura,SDF - 2021
0200030,2021,Calefaccion y Refrigeracion,"Placas calefactoras dirección de Jardín, 21 ventiladores de pared de 20"
0200030,2021,Carpinterías,"Refacción de todas las ventanas, Colocación cinta reflectora en escalones"
0200030,2021,Electricidad,Bocas de electricidad para purificadores
0200030,2021,Gas,Ttermotanque eléctrico casa casera
0200030,2021,Incendio,"Reposición de sistema contra incendio, Provisión de 3 matafuegos PVP x 5kg"
0200030,2021,Otros Servicios,4 AULAS SECUNDARIAS DEL FUTURO
0200030,2022,Medios de elevación,reparacion ascensor
0200030,2022,Sanitarias,Colocación de 3 tanques cisterna
0200030,2023,Gas,Adecuación de instalación de gas
0200031,2021,Albañileria / Pintura,Pisos de madera en aulas 206 y 307
0200031,2021,Sanitarias,provision de agua para sector conseciona
0200031,2022,Albañileria / Pintura,Reponer/reparar placas de cielorraso
0200031,2022,Electricidad,"Iluminacion de  Emergencia, Colocación de 4 plafones en laboratorio"
0200031,2022,Saneamiento,Limpieza especial de conductos.
0200031,2023,Carpinterías,Rejas y protecciones de seguridad
0200031,2023,Electricidad,Iluminacion sector Bilblioteca
0200032,2021,Albañileria / Pintura,"SDF 4TO AÑO, Refuncionalizacion para comedor, Secundarias del futuro 4to año"
0200032,2022,Albañileria / Pintura,Acondicionamiento de piso aula fonética
0200032,2022,Cubiertas / Impermeabilizaciones,Refuerzo Especial de Control de Plagas -
0200032,2022,Incendio,"Reposición de Accesorios de IFCI Vandali, Prov de Extintores acorde a planos evacu"
0200033,2022,Electricidad,"4 ventiladores de pared de 20"" y 1 techo"
0200033,2022,Gas,"Reemplazo de termotanque casa casera, Adecuación de la Instalación de Gas, Prov. coloc. placas eléctricas calef."
0200033,2022,Sanitarias,Reemp de bomba cloacal-Subsuelo
0200033,2023,Calefaccion y Refrigeracion,Puesta a normativa 2 calderas
0200076,2021,Albañileria / Pintura,reparación de fisuras en fachada y pintu
0200076,2021,Carpinterías,Prov. Coloc. rejas protección escalera
0200076,2021,Gas,Adecuación de instalación de gas
0200076,2022,Albañileria / Pintura,Pintura de Hall de ingreso
0200076,2022,Gas,Reemplazo de 3 calefactores
0200076,2022,Otros Servicios,Poda de enredaderas en patios
0200076,2023,Gas,Adecuaciones en la de instalación de gas
0200076,2023,Sanitarias,Prov y coloc   inodoro en baño de varone
0200077,2021,Cubiertas / Impermeabilizaciones,Cambio de membrana en losas
0200077,2021,Gas,cambio de campana de cocina
0200077,2022,Cubiertas / Impermeabilizaciones,Cambio membrana techo de patio cubierto
0200078,2021,Albañileria / Pintura,"Provisión/ colocación placas cementicias, Ejecución rampa según normativa, Tareas en biblioteca jardín y patio"
0200078,2021,Calefaccion y Refrigeracion,Instalacion de 4 purificadores
0200079,2021,Electricidad,Colocación de purificadores
0200079,2022,Albañileria / Pintura,"Reparar hall de acceso, Reparación del cielorraso hall de acceso"
0200080,2021,Sanitarias,"Nueva cañería desde grasera a cámara, Adecuación descarga de la grasera"
0200080,2022,Albañileria / Pintura,"Pintura piso de la cancha, Pintura adicional de la cancha de futbol"
0200080,2022,Calefaccion y Refrigeracion,Solicitud soldar caldera
0200080,2022,Carpinterías,Inst.  reja divisoria entre  patios
0200080,2022,Incendio,Reposición de 6 nuevos  matafuegos
0200080,2022,Medios de elevación,Cambio cargador bateria montasilla
0200080,2023,Gas,Readecuación de la instlación de gas
0200080,2023,Medios de elevación,Reparación del montasilla de ingreso
0200080,2023,Sanitarias,Cambio del calefon a gas casa casera
0200081,2022,Calefaccion y Refrigeracion,REPARACION DE CALDERA
0200081,2022,Electricidad,Instalación de un proyector
0200082,2021,Carpinterías,Provision/colocacion puertas corredizas
0200082,2021,Medios de elevación,Puesta en normativa ascensor
0200082,2022,Calefaccion y Refrigeracion,Cambio quemador en caldera
0200082,2022,Carpinterías,Reparación carpinteria metalica
0200082,2023,Electricidad,Protocolo espacios seguros
0200083,2021,Calefaccion y Refrigeracion,Calefactor de TB en aula lila de Jardín
0200083,2021,Electricidad,"Prov,coloc ventilador sala maestros"
0200083,2021,Incendio,provisión y colocación de  6 Extintores
0200083,2021,Sanitarias,Colocar termotanque y canillas-B° Jardín
0200083,2022,Carpinterías,Prov. Coloc. de Rejas en ventana
0200083,2022,Gas,Reemplazo de 3 calefactores
0200083,2023,Albañileria / Pintura,Puesta en valor de 2 aulas de PB
0200083,2023,Electricidad,"Prov y colocación de ventiladores SUM, Prov y coloc  luces de emergencia"
0200084,2021,Carpinterías,Confección de rampa de madera
0200084,2021,Gas,"Cotizar y reemplazar estufa de aula y co, Rreemplazo valvula solenoide"
0200084,2021,Medios de elevación,Puesta en normativa de sistema elevaplat
0200084,2021,Sanitarias,Cambiar 2 tanques de agua
0200084,2022,Cubiertas / Impermeabilizaciones,Cambio de membrana en azotea
0200084,2022,Gas,Reparación de red y artefactos de gas
0200084,2022,Incendio,Reposición de 1 Matafuegos ABC 5kg
0200084,2023,Electricidad,Reemplazo de 3 ventiladores de techo
0200084,2023,Otros Servicios,Protecciones para artefacto de gas
0200085,2021,Albañileria / Pintura,"Reparación y pintura de fachada, Puesta en valor de cuatro aulas, Puesta en valor de sala auxiliar y docen"
0200085,2021,Carpinterías,Prov. coloc  puerta en supervisión
0200085,2021,Electricidad,"Ventilador de 20"" para Dirección"
0200085,2021,Gas,Adecuación de instalación de gas
0200085,2022,Gas,Reemplazo de estufa TB de comedor
0200085,2022,Incendio,Prov. Coloc. 4 extintores tipo ABC.
0200085,2023,Albañileria / Pintura,Demol cielorraso/puerta reja/Inst. 2 AA
0200086,2021,Cubiertas / Impermeabilizaciones,Readecuacion de inst pluvial en terraza
0200086,2021,Electricidad,Reemplazo de tablero principal
0200086,2022,Albañileria / Pintura,Refuerzo estructural losa y vigas
0200086,2022,Calefaccion y Refrigeracion,Recambio de estufas
0200086,2023,Electricidad,Espacios seguros Inst. alarmas y sensore
0200086,2023,Sanitarias,Reposición termo tanque en casa casero
0200087,2021,Albañileria / Pintura,Pintura sala de computacion
0200087,2021,Calefaccion y Refrigeracion,Faltantes 9 ventiladores
0200087,2021,Electricidad,Restauración de la sala de bombas
0200087,2021,Incendio,Provisión de 2 matafuegos PVP X 5KG
0200087,2022,Albañileria / Pintura,Pintura en hall pb
0200087,2022,Electricidad,COLOCAR LUCES EN PATIO
0200087,2022,Gas,"Trabajos en instalación de gas, Adecuación en instalaciones de gas"
0200087,2022,Otros Servicios,COLOCAR MALLAS EN JARDIN
0200087,2023,Calefaccion y Refrigeracion,Reponer aire acondicionado sala amarilla
0200087,2023,Carpinterías,"Colocar malla metálica en ventilación, Colocar red de protección anticaida"
0200087,2023,Electricidad,"Reparar/reemplazar ventilador., Instalacion de grupo electrogeno"
0200088,2021,Electricidad,Cambiar timbre de ingreso a Jardín
0200088,2022,Incendio,Ubicacion nuevos  extintores
0200089,2021,Cubiertas / Impermeabilizaciones,Cambio de membranas-Techos planos
0200089,2021,Electricidad,Instalación 3 purificadores de aire
0200089,2021,Gas,Protecciones interiores calefactores
0200089,2022,Incendio,Recambio de matafuegos abc 5kg
0200090,2021,Albañileria / Pintura,"Reparar revoque frente del edificio, Revoque,pintura,hall,medianera,celosias"
0200090,2021,Cubiertas / Impermeabilizaciones,Coloc proteccion bandeja s/frente
0200090,2021,Gas,Acond. ventilaciones
0200090,2022,Albañileria / Pintura,"Acondicionamiento de aula en planta baja, Tercer patio(rev., pintura, reemplazo vi"
0200090,2022,Calefaccion y Refrigeracion,Presupuesto x 3 caloventores
0200090,2022,Incendio,Provisión de un matafuego CO2 5 kg
0200090,2023,Albañileria / Pintura,Primera etapa núcleo baño
0200090,2023,Electricidad,"Prov. Inst. sistema Espacio Seguro, Conexión cañería de agua, tanques, Provisión y colocacion de ventiladores"
0200091,2021,Electricidad,cotizacion y Reemplazo de ventiladores
0200091,2021,Gas,"reemplazar regulador de gas en caldera, Cambio de quemador de caldera"
0200091,2023,Electricidad,Espacios seguros
0200092,2021,Electricidad,Instalación 5 purificadores de aire
0200092,2021,Sanitarias,"Prov,coloc termotanque 120lts cocina"
0200093,2023,Electricidad,Reemplazo de Ventiladores
0200093,2023,Gas,Adecuacion de instalacion de gas
0200094,2022,Carpinterías,Colocación de la puerta del baño
0200094,2023,Gas,Reparación en instalación de gas
0200095,2021,Incendio,"Proveer Extintores 5 Kg ABC, Prov y coloc matafuego ABC 5kg"
0200095,2022,Incendio,"Provision y colocación de un matafuego, Readecuacion sistema contra incendio, Normalizacion Sistema contra Incendio"
0200095,2023,Carpinterías,Ejecución estructura para aro basquet
0200096,2021,Albañileria / Pintura,"Puesta en valor de aula 15, 16 y 26, Acondicionar dos aulas para SDF 202"
0200096,2021,Carpinterías,Cambio de vidrios en 2 aulas 1er piso
0200096,2021,Electricidad,"Realizar 4 aulas del futuro, Provisión y colocación de un nuevo timbr, Proveer y colocar 14 ventiladores"
0200096,2021,Incendio,Adecuar IFCI
0200096,2021,Sanitarias,"Proveer y colocar termotanque-Casero, Reponer tapa de tanque de agua"
0200096,2022,Calefaccion y Refrigeracion,Puesta en normativa de Caldera
0200096,2023,Electricidad,"Prov y coloc 2 ventiladores para gym., Prov. Coloc sistema de alarma con sensor"
0200096,2023,Sanitarias,Prov.Coloc inodoro en baño de mujeres
0200097,2021,Gas,Acond. instalacion de gas buffet
0200097,2021,Incendio,Colocación de matafuego en subsuelo
0200097,2022,Incendio,Provisión de 8 matafuegos 1 ABC 5 kg
0200097,2023,Albañileria / Pintura,"Readecuacion aulas para SDF., Reemplazo de matafuegos"
0200097,2023,Carpinterías,Adicional de 6 cerraduras para aulas
0200097,2023,Cubiertas / Impermeabilizaciones,IMPERMEABILIZACIÓN DE AZOTEA
0200097,2023,Electricidad,"Prov. Inst. sistema Espacio Seguro, Reemplazar ventiladores de techo"
0200098,2021,Albañileria / Pintura,Adec Subsuelo+taller cocina+laboratorio
0200098,2021,Carpinterías,Prov. coloc reja en desagües de cochera
0200098,2021,Sanitarias,Prov. coloc bomba de achique en subsuelo
0200098,2022,Albañileria / Pintura,Pintura en SUM
0200098,2022,Carpinterías,colocación de dos ventanas sala de idiom
0200098,2022,Electricidad,Adecuaciones en la instalación eléctrica
0200098,2022,Gas,Adecuaciones Instalacion Gas
0200098,2023,Albañileria / Pintura,"Prov. coloc placas antihumedad, Impermeabilización azotea y cielorraso H"
0200098,2023,Carpinterías,Proteccion metalica en balcones y escale
0200098,2023,Electricidad,Prov. Coloc sistema de alarmas rectoria
0200098,2023,Gas,Adecuación de la Instalación de Gas
0200098,2023,Sanitarias,Prov y coloc inodoro en baño de varones
0200099,2021,Calefaccion y Refrigeracion,REPARACION DE CALDERA
0200099,2021,Electricidad,"Luces de emergencia, Colocación de purificadores"
0200099,2021,Sanitarias,Conexión de agua en bacha-Sala Jardín
0200099,2023,Electricidad,Espacios seguros Inst. alarmas y sensore
0200099,2023,Gas,Reparación en instalación de gas
0200100,2021,Electricidad,Instalacion de 4 purificadores
0200100,2021,Gas,"Reparar perdidas en cocina de buffet, Recolocar tubos de ventilacion, Cambio de cañeria de termofusion, Reacondicionamiento de redes de gas"
0200100,2022,Carpinterías,Cambiar hojas de puerta de acceso
0200100,2022,Cubiertas / Impermeabilizaciones,Impermeabilizar techos de aulas
0200100,2022,Gas,Instalaciones de gas en taller fundicion
0200100,2022,Incendio,"Reposicion matafuego ABC de 5 kg, Reposicion de 6 matafuegos ABC de 5 kg"
0200100,2023,Albañileria / Pintura,"Reacondicionamiento de 6 aulas, Adecuaciones de i. de gas, Reparación de calderas-adicional"
0200100,2023,Carpinterías,Rejas para puerta en sala digital P.B
0200100,2023,Electricidad,"Espacios seguros, Reemplazo de un ventilador de pared"
0200101,2021,Cubiertas / Impermeabilizaciones,"Cambio de membrana impermeable terrazas, Pintura sobre membrana geotextil"
0200101,2021,Electricidad,"Circuito independiente para luces emerg, Provisión y colocacion de 4 ventiladores"
0200101,2021,Incendio,Instalacion electrica taller VLyPlanes
0200101,2021,Medios de elevación,Habilitacion del ascensor
0200101,2022,Electricidad,Cables y pintura sala computacion
0200101,2022,Gas,Cambio de llaves de paso de estufas
0200101,2022,Otros Servicios,Secundaria del Futuro etapa 5
0200102,2021,Albañileria / Pintura,"Reparar e impermeab. medianera oeste, Aulas del Futuro- 5 aulas 2do piso"
0200102,2021,Electricidad,"Reponer ventiladores en diversas aulas, Instalacion 3 purificadores de aire"
0200102,2021,Sanitarias,Prov. coloc  bomba de caudal de entrada
0200102,2022,Albañileria / Pintura,4 aulas - Secundaria del Futuro
0200102,2022,Carpinterías,Prov. Coloc. rejas de seguridad en aula
0200102,2022,Electricidad,Reponer lámparas o artefactos
0200102,2022,Incendio,"Reposicion de 1 matafuego ABC de 5 k, Reemplazo de 1 matafuegos ABC 5kg"
0200102,2022,Medios de elevación,Reparación de ascensor n°2
0200102,2023,Albañileria / Pintura,Secundaria del Futuro en 2 piso
0200102,2023,Electricidad,Reemplazo de 6 ventiladores de techo
0200102,2023,Medios de elevación,"Ascensor dañado por vandalismo, Cambio de puerta cabina del ascensor"
0200103,2021,Calefaccion y Refrigeracion,Instalacion de 3 purificadores
0200103,2021,Incendio,Proveer Extintores 5 Kg ABC
0200103,2021,Sanitarias,Prov y coloc.termotanque en cocina
0200103,2023,Carpinterías,Proteccion ventanas en fachada
0200104,2021,Calefaccion y Refrigeracion,cambio de 1 radiador en planta baja
0200104,2021,Gas,Adecuación de ventilaciones
0200104,2021,Medios de elevación,Prov montaje y conexion sist de limites
0200104,2021,Sanitarias,Cambio termotanque agua caliente cocina
0200104,2022,Calefaccion y Refrigeracion,Reposición radiador 16 elementos
0200104,2022,Gas,Puesta a normativa de inst de gas
0200104,2023,Electricidad,Cambio de ventilador en Dirección
0200105,2021,Sanitarias,Reparar cisterna de PB
0200105,2023,Albañileria / Pintura,Reparación de fachada del Polideportivo
0200106,2021,Incendio,Provision de matafuegos faltantes
0200106,2021,Medios de elevación,Botonera parada de emergencia ascensor
0200106,2021,Otros Servicios,Reparaciones generales de Gas
0200106,2022,Carpinterías,Adicionales por tanque
0200106,2022,Incendio,Reemplazo de matafuegos
0200106,2022,Otros Servicios,"Aulas sec. del futuro, PROVISION E INST. DE VENTILADORES"
0200106,2022,Sanitarias,Provision e instalacion de tanque
0200107,2021,Electricidad,Instalacion de purificadores en aulas
0200107,2021,Otros Servicios,reparacion ascensor
0200107,2022,Incendio,Reemplazo de matafuegos
0200107,2022,Otros Servicios,Reemplazo bomba
0200120,2021,Albañileria / Pintura,"Cielorr durlock comp y biblio, inst elec"
0200120,2021,Incendio,Reemplazo de 1 matafuegos 5k ak
0200120,2022,Calefaccion y Refrigeracion,Cambio de quemador caldera
0200120,2022,Carpinterías,Colocación de pasamanos
0200120,2022,Electricidad,Readecuación inst eléctrica sal computa
0200120,2023,Incendio,Reemplazo de 3 matafuegos
0200123,2021,Gas,Cambio de termotanque jardin
0200123,2022,Albañileria / Pintura,"Tareas complementarias, Reacondicionamiento de la sala de 4"
0200123,2022,Carpinterías,Reparacion Fachada y aberturas
